,review
102,amazon send package safely happy services shampoo suitable adults ordered btw u believe horrible result actually ordered decreasing hair fall using time hair fall increase horribly hair became sticky explain never use shampoo waste money
103,nice
104,smell last week also strong first day one make presence product
105,good product
106,tea really good tastes better wagh bakri premium tea grain size much smaller leaves lot dust bottom container bit annoying every time finish container lot tea wasted form dust
107,start safe arrived low battery message meaning could anything else go get new batteries brand new item get things order safe works well serves purpose however manual provided obsolete instructions match product solutions posted online either want program safe figure customer service personnel helpful either kept trying force get technician come house cost rs program device completely defeats purpose online shopping fall rather ridiculous big brand like godrej case anyone else needs program home code able hope works instructions indicate press actually means lock instructions indicate try pressing clear every time pressed got error message go steps listed change personal code home mode need access programming pg code means different features program go steps change numbers suit get last digit instructions written book figure last digit change going programming changing last number able go back change personal code home mode set password lock go back programming change last digit back originally good luck
108,nice smelling scented bath soap cinthol scent lingers even washing leaves bathroom also smelling great besides job cleaning full points thing somewhat misguided ordered smaller pack needed larger one
109,superb love day started using works like charm skin soft new born baby receive loads compliments day day thank much himalaya herbals big thanks amazon lovely packing packaging product well timely delivery found review helpful please click helpful let know divine thanks blessed
110,strap could better
111,good taste feel rich aroma refreshing tasting several brands found tea premium flavor looking buy society premium tea moving forward
112,brand britannia thing introduce biscuit quality
113,totally satisfied product value money manufacturing date august ordered october got fresh product totally satisfied
114,face wash amazing guys oily skin every face breaks first time used within wash pimples gone jocking guys face wash wonders use two times daily waking morning going bed using two months single pimple past two months every oily skin acne prone beauties recommend facewash
115,reading many great reviews eagerly waiting face wash opened tube half empty disappointed
116,teas tested tasted tea companion since many decades little bit adrak pudina leaves one little pinch powder cardamon sticks add milk separately heating see difference heavenly tiring day though addicted tea found particular tea much enjoyable light thanks
117,whilst initially cream thick subsequently content starts thinning thick milk like guess comes tins like oversea product might better consistency surely thant would higher price
118,fantastic product whole family fond product using ages nutramul period
119,size powder bottle differs seriously doubt original duplicate smell powder also slightly differs checked product bought himalayas shop different
120,see packing presentation package one gets positive vibes expects lot regular tea alas much agni nothing use good quantity prepare good tea
121,feel artificial
122,absolutely perfume blue colour transparent shown cinthol ad total waste
123,protect loved ones virus like covid dettol disinfectant liquid one best solution although scentless use laundry sanitizer disinfect anything comes human contact
124,godrej one soaps able balance essential tick points common bath soap viz pleasant fragrance good lather soft skin use delhi winters soaps leads skin drying godrej leaves skin soft moisturized economical personally love lime fragrance ones good boils individual preference irrespective fragrance disappoint highly recommend find review useful please press helpful button thanks
125,recieved broken bottle cap bad packaging seller plz check image attached got himalaya products doubt good nice mild fragrance prefer himalaya brands specially baby baby wash himalaya tried washing face n actually tear baby wash unlike claim tear irritant eyes
126,steel good quality battery awesome strap genuine leather waterproof strap please avoid water may damage long time leather
127,happy product winter time also gives best result son yes malish bath night day bath pure cow ghee along termaric powder bath gently use lotion using lotion powder starting ordered two one son another cousin child
128,great deal good packaging packaging impressive words short defining thanks amazon
129,good
130,first time buy talc okay mysore sandal still sure scent longevity essence also minimum buy fair also discount even sale time well amazon cloudtail india mysore sandal done good job believe genuine product
131,steel good quality battery awesome strap genuine leather waterproof strap please avoid water may damage long time leather
132,initially thought face wash waste money lather used month anyways started noticing lot difference skin made skin soft n dry patches face reduced dry skin rather hydrate skin along cleaning best face wash people sensitive n dry skin
133,mai watch delivr kiya hu watch mujhe samjh mai nhi aa rha h ki ye watch ka real color kya hai esliye mai confused hu pllzz orignl color watch send number
134,nice flavor melts easily perfect slices making pizza
135,perfect travellers lazy people thing u need take hot water mix powder awesome masala tea ready make sure u follow instructions mix right proportion instructed must u travelling u live without good tea
