,review
81,recently visited relative dubai tasted society masala tea st simply loved found real ingredients like cinnamon cardamom ginger etc written box ordered tea india got back shocked see real ingredients box says added flovors disgusting find sold india exported abroad totally different wish could return tea unfortunately accept return food items
82,oily acne prone days acne dried see significant improvement dark spots yet mild brilliant continue helped acne tip people acne keep scalp clean change pillow sheets really helps
83,seems duplicate faded days use authorities please check supplier think cannot return item hv opened packet buyer sure without item think fit case filed consumer forum buyers buy sunil
84,might think would buy refill instead new bottle save money even reduce plastic use however buy refill original dettol handwash soon refilled bottle started noticed first lighter noticeably lighter noticed scent faint compared original one bottle ignored times like cant picky two days later noticed peeling like never used handwash long never happened even risk givin away someone free awful end dustbin
85,excellent hubby liked much gifted birth day thank giving products n satisfying seller n buyer way
86,great rocks
87,first impression lathers poorly like applying lotion washing well lack foam necessarily mean cleaning second impression washing mmm try againfinal impression really moisturize perfect dry specially harsh winter dry sensitive need moisturising care routine specially winter months sensitive agree random products shelf tried ml tube herbal liked really moisturize dry ml removed star outlet big generous amount plops single pump end finishing way faster compared face wash ml tube generous outlet
88,useful
89,amazing flavour searching shops covid period could find one market decided buy happy
90,simply awesome spacious looks issues thinking getting well go
91,smells like strong chemical pleasant reviews say used nappy wash baby thing happening getting orange colour share dress bad think dettol bad horrible need buy made indian company may see pattern positive comments get tricked
92,itz lyk mysore sandal mysore sandal comes days kids bath come one usage value money
93,defective front keypad panel sitting properly immediately observed receiving opening defect reported arranged replacement informed check confirm resent defective order
94,tea last year getting bangalore easy sometime avaialble happy get tea flavour society tea fine tea get proper flavour boil water well add milk sometime use tea decoction hair conditioning also pure
95,excellent
96,great
97,arrive kind dirty expiry date smudged horrible
98,use gel night cream quite happy make beauty queen overnight moisturizes non intrusive way thats need impact short would naturally replenishment especially summers thing think improve change packaging use bit high one cap quite sharp open close hurt operated carefully secondly tube usually habitually keep tube inverted cap take gel open cap hard cap thick gel work conjunction opens jerk throwing gel around wasting well messing things around times open cap cap top invert tube take learnt messes much careful patanjali sure needs work packaging front gel
99,initially thought face wash waste money lather used anyways started noticing lot difference made soft n dry patches face reduced dry rather hydrate along cleaning best face wash people sensitive n dry
100,like maaza drink maaza lot thick mango juice pour glass drink
101,best biscuits choice early morning coffee tea snack companion since high fiber even helped lot providing relief constipation problems due prior poor diet choices took least week see significant changes happy would definitely recommend biscuits people suffering kind ailments food choice instead medications
102,send package safely happy services shampoo suitable adults ordered btw u believe horrible result actually ordered decreasing hair fall hair fall increase horribly hair became sticky explain never use shampoo waste money
103,nice
104,last week also strong first day one make presence
105,
106,tea really tastes wagh bakri premium tea grain size much smaller leaves lot dust bottom container bit annoying every finish container lot tea wasted form dust
107,start safe arrived low battery message meaning could anything else go get new batteries new item get things order safe works well serves purpose however manual provided obsolete instructions match solutions posted online either want program safe figure customer service personnel helpful either kept trying force get technician come house cost rs program device completely defeats purpose online shopping fall rather ridiculous big like godrej case anyone else needs program home code able hope works instructions indicate press actually means lock instructions indicate try pressing clear every pressed got error message go steps listed change personal code home mode need access programming pg code means different features program go steps change numbers suit get last digit instructions written book figure last digit change going programming changing last number able go back change personal code home mode set password lock go back programming change last digit back originally luck
108,nice smelling scented bath cinthol scent lingers even washing leaves bathroom also smelling great besides job cleaning full points thing somewhat misguided ordered smaller needed larger one
109,superb love day started works like charm soft new born baby receive loads compliments day day thank much himalaya herbals big thanks lovely packing packaging well timely delivery found review helpful please click helpful let know divine thanks blessed
110,strap could
111,rich aroma refreshing tasting several brands found tea premium flavor looking buy society premium tea moving forward
112,britannia thing introduce biscuit
113,totally satisfied value money manufacturing date august ordered october got fresh totally satisfied
114,face wash amazing guys oily every face breaks first used within wash pimples gone jocking guys face wash wonders use two times daily waking morning going bed two months single pimple past two months every oily acne prone beauties recommend facewash
115,reading many great reviews eagerly waiting face wash opened tube half empty disappointed
116,teas tested tasted tea companion since many decades little bit adrak pudina leaves one little pinch powder cardamon sticks add milk separately heating see difference heavenly tiring day addicted tea found particular tea much enjoyable light thanks
117,whilst initially cream thick subsequently content starts thinning thick milk like guess comes tins like oversea might consistency surely thant would higher price
118,fantastic whole family fond ages nutramul period
119,size powder bottle differs seriously doubt original duplicate powder also slightly differs checked himalayas shop different
120,see packing presentation package one gets positive vibes expects lot regular tea alas much agni nothing use quantity prepare tea
121,artificial
122,absolutely perfume blue colour transparent shown cinthol ad total waste
123,protect loved ones virus like covid dettol disinfectant liquid one best solution although scentless use laundry sanitizer disinfect anything comes human contact
124,godrej one soaps able balance essential tick points common bath viz pleasant lather soft use delhi winters soaps leads drying godrej leaves soft moisturized economical personally love lime ones boils individual preference irrespective disappoint highly recommend find review useful please press helpful button thanks
125,recieved broken bottle cap bad packaging seller plz check image attached got himalaya products doubt nice mild prefer himalaya brands specially baby baby wash himalaya tried washing face n actually tear baby wash unlike claim tear irritant eyes
126,steel battery awesome strap genuine leather waterproof strap please avoid water may damage long leather
127,happy winter also gives best result son yes malish bath night day bath pure cow ghee along termaric powder bath gently use lotion lotion powder starting ordered two one son another cousin child
128,great deal packaging packaging impressive words short defining thanks
129,
130,first buy talc okay mysore sandal still sure scent longevity essence also minimum buy fair also discount even sale well cloudtail india mysore sandal done job believe genuine
131,steel battery awesome strap genuine leather waterproof strap please avoid water may damage long leather
132,initially thought face wash waste money lather used anyways started noticing lot difference made soft n dry patches face reduced dry rather hydrate along cleaning best face wash people sensitive n dry
133,mai delivr kiya hu mujhe samjh mai nhi aa rha h ki ye ka real kya hai esliye mai confused hu pllzz orignl send number
134,nice flavor melts easily perfect slices making pizza
135,perfect travellers lazy people thing u need take hot water mix powder awesome masala tea ready make sure u follow instructions mix right proportion instructed must u travelling u live without tea
136,godrej goldilock diwali sale got scratches already still kept wanted disable theft alarm gives loud sound even move goldilock slightly annoying tried disable feature getting disabled godrej executive also told problem pcb return got replaced next day new also problem cannot disable alarm also one additional problem close lid sometimes get locked attempts gets locked confused trusted godrej satisfaction level
137,damaged found seal broken difference quantity bottle
138,mom peculiar cosmetics use baby always try use non chemical based cosmetics baby tried called big foreign brands results average last tried himalaya baby shampoo results astonishing thr natural oil babies hairs abck normal hairs soft hardly itching eyes must buy products thr moms love babies
139,used hair actually times u r trouble ur hair nothingsuits ur hair falling soits use something mild baby shampoo gives shine makes ur hair soft dont rely shampoo removing oil ur hair way mild
140,
141,think one best used freshens ur mood odonil counterparts scent spreads evenly go
142,nice steel
143,amazing
144,nice gift packing
145,mamaearth ubtan natural face wash one best mama earthand suits every types helps removing signs tan liquorice helps repair sun damage caused exposure harsh rays sun turmeric light tone improves complection one best face wash smells also nice
146,dettol doubt disinfectant liquids compare dettol original lime gives fresh use floors kitchen tiles bathroom laundry shaving purpose use disinfectant liquid water covid pandemic wash products spray doors door bell surfaces etc use bathing purpose also multi purpose cleaner safe surfaces nice way disinfect home
147,long searching indian equal usa ivory get holiday inn hotels thank cinthol
148,whilst initially cream thick subsequently content starts thinning thick milk like guess comes tins like oversea might consistency surely thant would higher price
149,free tiffin box provised mentioned packed expected
150,holding buying shampoo kids b c even natural shampoos tons chemicals cause dandruff hair shampoo wonderful gentle smells scalps irritated sensitive
151,honestly regular brown colour antiseptic liquid loved thought buy lemon scent liquid hope much last one saw much sticky liquid add water goes like invisible dissapointed last one brown one thumbs buy dont go reviews purchased reviews u regret u use scent thickness really dont buy dont waste ur money lemon buy brown liquid
152,
153,looks return itbecause tab ee adjust loosed gets pressed movement stops work return
154,damaged condition come returnable category since seal broken use
155,buy best tooti frooti till
156,genuinely standard college graduate date someone interview suits scenarios returned later getting deal still even months fail impress must buy guy collection
157,paper boat juices excellent poor availability packet totally damaged
158,steel battery awesome strap genuine leather waterproof strap please avoid water may damage long leather
159,really started appreciating made really works well best part made safe ingredients baby enriched goodness goat milk oatmeal shea butter coconut based cleanser toddler feels soft bath shape perfect little one hold well tears formula working great gentle amazing highly recommend moisturizing bath mommies daddies specially recommend toddlers phase want independent bath
160,nice easy use gud colout
161,undoubtedly best cows milk ever tasted milk carton creamy delicious
162,worst duplicate ghee parcel mixed many things ghee threw outside hate
163,small wrist girls big wrist dail seeing think ordered brown dail model give sister like one want buy u go brown although favorite pink also trust brown compare pink saw friend wearing brown really compare pink
164,hair really appreciate suffer minor infections pimple acne hair fall problem go
165,ordered patangali leter pouches correct weight another waight
166,thank recommendation engine suggesting mysore sandal talc never knew mysore sandal talc purchased mysore sandal weeks back perhaps due purchase would recommended well glad clicked suggestion one bye existing ponds sandalwood talc review compares mysore sandal talc vis vis ponds sandalwood talcpros first thing hits soon open bottle smells pure authentic sandal wood perfumed ponds talc powder mysore sandal talc allows decide size hole want bottle ponds one forces holes soon want top cover always hated ponds talc ponds really wants use need last longer ponds sandalwood talc even day believe try one judge reviews talk powder finely powdered nothing like powder fine ponds sandalwood talc bottle sealed hologram sticker assurance genuine mysore sandal somehow like press fit top bottle keep intact bottle use ponds bottle twist close top really seal tight way shutting close bottle last least mysore sandal talc cheaper ponds sandalwood earth would ever buy ponds cons none spotted yet
167,really durable products value money got basket broken made complain since non returnable refunded money pay gave products wasted solved problem okay
168,best instant teaoutstanding masala tea
169,nice flavour
170,personal feedback per preference along chaps found overall functionality chaps one dial much attractive looks feels bulky big also big bezel steals away although overall superb doubt titan decide urself attached couple pictures justify feedback
171,safe n intact first old dated products tea powder older ketchup also older ketchup used within kg ordered sir order purchased tata tea powder two months ago mfg date mfg productsloosing faith grocery order
172,mainly use spraying bugs n spiders house mixed water vinegar sometimes bath washing baby clothes safe hands overall useful
173,like really
174,way best lovely scent
175,best tea daily use cheap rate fast next day delivery pantry
176,
177,return replaceadd tex
178,nice innovative reckitt benckiser deserves thanks available local medicine shops complaining strong original dettol antiseptic liquid comparing apples oranges scented dettol disinfectant liquid ideal baths imparting freshness washed clothes
179,gifted dad loved
180,pricey comes price free chemicals healthy option gives results acne prone face days cleanses face well quantity required also b face wash years come
181,got delivery day thank really appreciate talking worth every penny although little heavy looks killer go family member like comes year warranty pretty
182,recieved broken bottle cap bad packaging seller plz check image attached got himalaya products doubt nice mild prefer himalaya brands specially baby baby wash himalaya tried washing face n actually tear baby wash unlike claim tear irritant eyes
183,box seems alarm set minutes minutes written discription indicator know four uv lights working properly case light working get know
184,nice comfortable use best price
185,happy whit prdodct orange glocondi favour
186,gidrej always trustable cool fresh
187,cintol years premium moisturizer etc sent lasts long sometimes feels long use
188,said water resistant even resist ft deep water polish leather straps went little amount water entered everyday becomes vapour blocks view cannot check properly fastrack something
